player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Dario Saric,DEN,31,16,13.1,3.5,3.1,1.4,0.4,0.1,0.9,0.362,0.269,0.7,-3.1,9.42,5168000,FALSE,5.168,1.82
Alex Caruso,OKC,31,54,19.3,7.1,2.9,2.5,1.6,0.6,0.7,0.446,0.353,0.824,5.9,18.03,9890000,TRUE,9.89,1.82
Derrick Jones Jr.,LAC,28,77,24.3,10.1,3.4,0.8,1,0.4,0.9,0.526,0.356,0.703,3.2,17.28,9523810,TRUE,9.52381,1.81
Cody Williams,UTA,20,50,21.2,4.6,2.3,1.2,0.5,0.3,0.9,0.323,0.259,0.725,-6.8,9.86,5469120,TRUE,5.46912,1.8
Dwight Powell,DAL,33,55,10,2.1,2.1,1,0.3,0.4,0.3,0.689,0.4,0.651,-0.3,7.22,4000000,FALSE,4,1.8
Jordan Clarkson,UTA,33,37,26,16.2,3.2,3.7,0.8,0.2,2.3,0.408,0.362,0.797,-5.5,25.29,14092577,FALSE,14.092577,1.79
Herbert Jones,NOP,26,20,32.4,10.3,3.9,3.3,1.9,0.5,1.8,0.436,0.306,0.825,-1,22.93,12976362,FALSE,12.976362,1.77
Malik Monk,SAC,27,65,31.6,17.2,3.8,5.6,0.9,0.6,2.4,0.439,0.325,0.865,1.8,30.76,17405203,TRUE,17.405203,1.77
Kyle Anderson,MIA,31,61,16.4,5.9,3.4,2.4,0.7,0.5,0.6,0.469,0.357,0.738,-0.4,15.38,8780488,TRUE,8.780488,1.75
Matisse Thybulle,POR,28,15,20.8,7.5,3.5,1.9,2.2,0.6,0.9,0.477,0.438,0.467,0.1,19.25,11025000,FALSE,11.025,1.75
Josh Okogie,CHA,26,40,15.6,7.1,2.8,0.8,1.2,0.5,0.8,0.443,0.348,0.741,-0.3,14.26,8250000,TRUE,8.25,1.73
Jakob Poeltl,TOR,29,57,29.6,14.5,9.6,2.8,1.2,1.2,1.9,0.627,0.333,0.674,-0.6,33.12,19500000,TRUE,19.5,1.7
Ousmane Dieng,OKC,22,37,10.9,3.8,2.2,0.8,0.5,0.2,0.5,0.432,0.324,0.688,1.2,8.54,5027040,FALSE,5.02704,1.7
Grant Williams,CHA,26,16,29.9,10.4,5.1,2.3,1.1,0.8,1.8,0.439,0.365,0.838,0.6,21.97,13025250,FALSE,13.02525,1.69
Vasilije Micic,PHX,31,41,19.1,6.6,2.2,3.1,0.4,0,1.9,0.348,0.36,0.829,-3,12.79,7723000,TRUE,7.723,1.66
Chris Boucher,TOR,32,50,17.2,10,4.5,0.7,0.5,0.5,0.6,0.492,0.363,0.782,0.1,17.85,10810000,TRUE,10.81,1.65
Jalen Brunson,NYK,28,65,35.4,26,2.9,7.3,0.9,0.1,2.5,0.488,0.383,0.821,2.2,39.93,24960001,TRUE,24.960001,1.6
KJ Martin,UTA,24,43,21.2,6.4,2.9,1.1,0.4,0.5,0.6,0.552,0.259,0.787,-3.3,12.73,7975000,TRUE,7.975,1.6
Larry Nance Jr.,ATL,32,24,19.3,8.5,4.3,1.6,0.8,0.5,0.7,0.516,0.447,0.692,-4,17.96,11205000,FALSE,11.205,1.6
Zaccharie Risacher,ATL,20,75,24.6,12.6,3.6,1.2,0.7,0.5,1.2,0.458,0.355,0.711,-1.6,19.92,12569040,TRUE,12.56904,1.58
